naughty  becomes       charsets
0x6827   0x685C 0x27   UCS-2 [桜] UCS-2BE [桜] UCS-2LE [屨] UTF-16 [桜] UTF-16BE [桜] UTF-16LE [屨]
0x6927   0x695C 0x27   UCS-2 [楜] UCS-2BE [楜] UCS-2LE [屩] UTF-16 [楜] UTF-16BE [楜] UTF-16LE [屩]
0x6A27   0x6A5C 0x27   UCS-2 [橜] UCS-2BE [橜] UCS-2LE [屪] UTF-16 [橜] UTF-16BE [橜] UTF-16LE [屪]
0x6B27   0x6B5C 0x27   UCS-2 [歜] UCS-2BE [歜] UCS-2LE [屫] UTF-16 [歜] UTF-16BE [歜] UTF-16LE [屫]
0x6C27   0x6C5C 0x27   UCS-2 [汜] UCS-2BE [汜] UCS-2LE [屬] UTF-16 [汜] UTF-16BE [汜] UTF-16LE [屬]
0x6D27   0x6D5C 0x27   UCS-2 [浜] UCS-2BE [浜] UCS-2LE [屭] UTF-16 [浜] UTF-16BE [浜] UTF-16LE [屭]
0x6E27   0x6E5C 0x27   UCS-2 [湜] UCS-2BE [湜] UCS-2LE [屮] UTF-16 [湜] UTF-16BE [湜] UTF-16LE [屮]
0x6F27   0x6F5C 0x27   UCS-2 [潜] UCS-2BE [潜] UCS-2LE [屯] UTF-16 [潜] UTF-16BE [潜] UTF-16LE [屯]
0x7027   0x705C 0x27   UCS-2 [灜] UCS-2BE [灜] UCS-2LE [屰] UTF-16 [灜] UTF-16BE [灜] UTF-16LE [屰]
0x7127   0x715C 0x27   UCS-2 [煜] UCS-2BE [煜] UCS-2LE [山] UTF-16 [煜] UTF-16BE [煜] UTF-16LE [山]
0x7227   0x725C 0x27   UCS-2 [牜] UCS-2BE [牜] UCS-2LE [屲] UTF-16 [牜] UTF-16BE [牜] UTF-16LE [屲]
0x7327   0x735C 0x27   UCS-2 [獜] UCS-2BE [獜] UCS-2LE [屳] UTF-16 [獜] UTF-16BE [獜] UTF-16LE [屳]
0x7427   0x745C 0x27   UCS-2 [瑜] UCS-2BE [瑜] UCS-2LE [屴] UTF-16 [瑜] UTF-16BE [瑜] UTF-16LE [屴]
0x7527   0x755C 0x27   UCS-2 [畜] UCS-2BE [畜] UCS-2LE [屵] UTF-16 [畜] UTF-16BE [畜] UTF-16LE [屵]
0x7627   0x765C 0x27   UCS-2 [癜] UCS-2BE [癜] UCS-2LE [屶] UTF-16 [癜] UTF-16BE [癜] UTF-16LE [屶]
0x7727   0x775C 0x27   UCS-2 [睜] UCS-2BE [睜] UCS-2LE [屷] UTF-16 [睜] UTF-16BE [睜] UTF-16LE [屷]
0x7827   0x785C 0x27   UCS-2 [硜] UCS-2BE [硜] UCS-2LE [屸] UTF-16 [硜] UTF-16BE [硜] UTF-16LE [屸]
0x7927   0x795C 0x27   UCS-2 [祜] UCS-2BE [祜] UCS-2LE [屹] UTF-16 [祜] UTF-16BE [祜] UTF-16LE [屹]
0x7A27   0x7A5C 0x27   UCS-2 [穜] UCS-2BE [穜] UCS-2LE [屺] UTF-16 [穜] UTF-16BE [穜] UTF-16LE [屺]
0x7B27   0x7B5C 0x27   UCS-2 [筜] UCS-2BE [筜] UCS-2LE [屻] UTF-16 [筜] UTF-16BE [筜] UTF-16LE [屻]
0x7C27   0x7C5C 0x27   UCS-2 [籜] UCS-2BE [籜] UCS-2LE [屼] UTF-16 [籜] UTF-16BE [籜] UTF-16LE [屼]
0x7D27   0x7D5C 0x27   UCS-2 [絜] UCS-2BE [絜] UCS-2LE [屽] UTF-16 [絜] UTF-16BE [絜] UTF-16LE [屽]
0x7E27   0x7E5C 0x27   UCS-2 [繜] UCS-2BE [繜] UCS-2LE [屾] UTF-16 [繜] UTF-16BE [繜] UTF-16LE [屾]
0x7F27   0x7F5C 0x27   UCS-2 [罜] UCS-2BE [罜] UCS-2LE [屿] UTF-16 [罜] UTF-16BE [罜] UTF-16LE [屿]
0x8027   0x805C 0x27   UCS-2 [聜] UCS-2BE [聜] UCS-2LE [岀] UTF-16 [聜] UTF-16BE [聜] UTF-16LE [岀] SJIS [?\] SJIS-win [?\] SJIS-Mobile#DOCOMO [?\] SJIS-Mobile#KDDI [?\] SJIS-Mobile#SOFTBANK [?\] SJIS-mac [\¥] SJIS-2004 [?¥] CP932 [?\]
0x8127   0x815C 0x27   UCS-2 [腜] UCS-2BE [腜] UCS-2LE [岁] UTF-16 [腜] UTF-16BE [腜] UTF-16LE [岁] SJIS [―] SJIS-win [―] SJIS-Mobile#DOCOMO [―] SJIS-Mobile#KDDI [―] SJIS-Mobile#SOFTBANK [―] SJIS-mac [—] SJIS-2004 [—] CP932 [―] GB18030 [乗] CP936 [乗] BIG-5 [?\] CP950 [] UHC [?]
0x8227   0x825C 0x27   UCS-2 [艜] UCS-2BE [艜] UCS-2LE [岂] UTF-16 [艜] UTF-16BE [艜] UTF-16LE [岂] SJIS [?] SJIS-win [?] SJIS-Mobile#DOCOMO [?] SJIS-Mobile#KDDI [?] SJIS-Mobile#SOFTBANK [?] SJIS-mac [?] SJIS-2004 [﹆] CP932 [?] GB18030 [俓] CP936 [俓] BIG-5 [?\] CP950 [] UHC [?]
0x8327   0x835C 0x27   UCS-2 [荜] UCS-2BE [荜] UCS-2LE [岃] UTF-16 [荜] UTF-16BE [荜] UTF-16LE [岃] SJIS [ソ] SJIS-win [ソ] SJIS-Mobile#DOCOMO [ソ] SJIS-Mobile#KDDI [ソ] SJIS-Mobile#SOFTBANK [ソ] SJIS-mac [ソ] SJIS-2004 [ソ] CP932 [ソ] GB18030 [僜] CP936 [僜] BIG-5 [?\] CP950 [] UHC [?]
0x8427   0x845C 0x27   UCS-2 [葜] UCS-2BE [葜] UCS-2LE [岄] UTF-16 [葜] UTF-16BE [葜] UTF-16LE [岄] SJIS [Ы] SJIS-win [Ы] SJIS-Mobile#DOCOMO [Ы] SJIS-Mobile#KDDI [Ы] SJIS-Mobile#SOFTBANK [Ы] SJIS-mac [Ы] SJIS-2004 [Ы] CP932 [Ы] GB18030 [刓] CP936 [刓] BIG-5 [?\] CP950 [] UHC [?]
0x8527   0x855C 0x27   UCS-2 [蕜] UCS-2BE [蕜] UCS-2LE [岅] UTF-16 [蕜] UTF-16BE [蕜] UTF-16LE [岅] SJIS [?] SJIS-win [?] SJIS-Mobile#DOCOMO [?] SJIS-Mobile#KDDI [?] SJIS-Mobile#SOFTBANK [?] SJIS-mac [?] SJIS-2004 [Æ] CP932 [?] GB18030 [匼] CP936 [匼] BIG-5 [?\] CP950 [] UHC [?]
0x8627   0x865C 0x27   UCS-2 [虜] UCS-2BE [虜] UCS-2LE [岆] UTF-16 [虜] UTF-16BE [虜] UTF-16LE [岆] SJIS [?] SJIS-win [?] SJIS-Mobile#DOCOMO [?] SJIS-Mobile#KDDI [?] SJIS-Mobile#SOFTBANK [?] SJIS-mac [㎇] SJIS-2004 [ʢ] CP932 [?] GB18030 [哱] CP936 [哱] BIG-5 [?\] CP950 [] UHC [?]
